Tarih,Fiyat
2015-04-05,100.51
2015-04-06,100.457
2015-04-07,101.126
2015-04-08,100.396
2015-04-09,100.649
2015-04-10,102.062
2015-04-12,102.078
2015-04-13,102.912
2015-04-14,103.174
2015-04-15,104.52
2015-04-16,103.411
2015-04-17,103.735
2015-04-19,104.019
2015-04-20,103.718
2015-04-21,103.771
2015-04-22,103.771
2015-04-23,103.771
2015-04-24,103.771
2015-04-26,103.223
2015-04-27,103.344
2015-04-28,103.568
2015-04-29,103.024
2015-04-30,101.891
2015-05-01,102.571
2015-05-03,102.794
2015-05-04,103.728
2015-05-05,104.04
2015-05-06,103.14
2015-05-07,102.396
2015-05-08,102.88
2015-05-10,102.999
2015-05-11,102.513
2015-05-12,102.047
2015-05-13,102.666
2015-05-14,101.793
2015-05-15,101.428
2015-05-17,101.417
2015-05-18,101.665
2015-05-19,100.942
2015-05-20,100.359
2015-05-21,100.504
2015-05-22,100.803
2015-05-24,100.707
2015-05-25,101.534
2015-05-26,100.851
2015-05-27,100.893
2015-05-28,101.558
2015-05-29,101.953
2015-05-31,101.944
2015-06-01,102.566
2015-06-02,102.595
2015-06-03,102.391
2015-06-04,101.118
2015-06-05,100.269
2015-06-07,103.759
2015-06-08,103.815
2015-06-09,104.188
2015-06-10,104.297
2015-06-11,102.728
2015-06-12,103.081
2015-06-14,103.462
2015-06-15,104.341
2015-06-16,103.923
2015-06-17,103.337
2015-06-18,104.823
2015-06-19,103.985
2015-06-21,103.894
2015-06-22,101.723
2015-06-23,101.47
2015-06-24,101.234
2015-06-25,100.257
2015-06-26,100.731
2015-06-28,102.99
2015-06-29,102.592
2015-06-30,101.136
2015-07-01,101.146
2015-07-02,100.681
2015-07-03,101.202
2015-07-05,102.459
2015-07-06,100.809
2015-07-07,99.762
2015-07-08,99.918
2015-07-09,99.638
2015-07-10,99.723
2015-07-12,99.854
2015-07-13,98.474
2015-07-14,97.863
2015-07-15,97.738
2015-07-16,97.825
2015-07-17,96.725
2015-07-19,96.753
2015-07-20,95.261
2015-07-21,94.913
2015-07-22,95.302
2015-07-23,95.938
2015-07-24,96.726
2015-07-26,96.937
2015-07-27,97.39
2015-07-28,97.226
2015-07-29,97.634
2015-07-30,97.555
2015-07-31,97.604
2015-08-02,97.305
2015-08-03,96.875
2015-08-04,97.087
2015-08-05,97.218
2015-08-06,97.249
2015-08-07,97.754
2015-08-09,97.654
2015-08-10,98.417
2015-08-11,99.083
2015-08-12,100.397
2015-08-13,101.197
2015-08-14,101.641
2015-08-16,101.571
2015-08-17,103.016
2015-08-18,104.031
2015-08-19,106.71
2015-08-20,108.452
2015-08-21,108.862
2015-08-23,110.496
2015-08-24,109.37
2015-08-25,108.457
2015-08-26,105.891
2015-08-27,105.465
2015-08-28,106.556
2015-08-30,106.294
2015-08-31,106.44
2015-09-01,107.428
2015-09-02,107.21
2015-09-03,107.586
2015-09-04,108.487
2015-09-06,109.509
2015-09-07,109.251
2015-09-08,108.724
2015-09-09,108.556
2015-09-10,107.93
2015-09-11,108.491
2015-09-13,108.072
2015-09-14,109.077
2015-09-15,107.715
2015-09-16,108.003
2015-09-17,109.39
2015-09-18,110.049
2015-09-20,109.94
2015-09-21,109.396
2015-09-22,109.448
2015-09-23,110.662
2015-09-24,112.724
2015-09-25,112.256
2015-09-27,112.427
2015-09-28,111.285
2015-09-29,110.022
2015-09-30,108.484
2015-10-01,108.408
2015-10-02,109.476
2015-10-04,109.586
2015-10-05,108.929
2015-10-06,109.055
2015-10-07,108.259
2015-10-08,106.143
2015-10-09,108.264
2015-10-11,109.059
2015-10-12,109.412
2015-10-13,111.184
2015-10-14,110.992
2015-10-15,109.559
2015-10-16,109.505
2015-10-18,109.667
2015-10-19,109.218
2015-10-20,109.805
2015-10-21,108.556
2015-10-22,107.687
2015-10-23,108.871
2015-10-26,108.151
2015-10-27,108.969
2015-10-28,108.819
2015-10-29,108.348
2015-10-30,107.048
2015-11-01,104.443
2015-11-02,102.933
2015-11-03,101.892
2015-11-04,102.205
2015-11-05,101.755
2015-11-06,102.069
2015-11-08,102.459
2015-11-09,102.624
2015-11-10,102.167
2015-11-11,100.438
2015-11-12,99.845
2015-11-13,99.81
